"PUMFID","HHLDSIZE","GENDER","TBC_05AR","TBC_05BR","TBC_10AR","TBC_10BR","TBC_15R","TBC_20R","TBC_25QR","TBC_30AR","TBC_30BR","TBC_30CR","TBC_30DR","TBC_30ER","TBC_30FR","TBC_30GR","TBC_35R","TBC_40R","TBC_41AR","TBC_41BR","TBC_41CR","TBC_45AR","TBC_45BR","TBC_45CR","TBC_45ER","TBC_45FR","TBC_45GR","TBC_50AR","TBC_50BR","TBC_50CR","TBC_50DR","TBC_50ER","TBC_50GR","OTP_05A","OTP_05BR","OTP_05CR","OTP_05DR","OTP_05ER","VAP_05AR","VAP_05BR","VAP_10R","VAP_15AR","VAP_15BR","VAP_15CR","VAP_20R","VAP_21R","VAP_30R","VAP_35R","VAP_40AR","VAP_40BR","VAP_40CR","VAP_40DR","VAP_40ER","VAP_40FR","VAP_40GR","VAP_40HR","VAP_41AR","VAP_41BR","VAP_41CR","VAP_41DR","VAP_41ER","VAP_41FR","VAP_41GR","VAP_41HR","VAP_45R","VAP_60","CAN_05AR","CAN_05BR","CAN_10AR","CAN_10BR","CAN_15AR","CAN_15BR","CAN_20AR","CAN_20BR","CAN_25AR","CAN_25BR","CAN_30AR","CAN_30BR","CAN_30CR","CAN_30DR","CAN_30ER","CAN_30FR","CAN_30GR","CAN_30HR","CAN_30IR","IU_05R","ALC_05","ALC_10","AGEGROUP","PROV_C","DV_SSR","DV_CN30R","DV_VP30R","DV_VC30R","DV_ALC30","FIRSTTRR","VERDATE","WTPP"
50021,3,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,4,8,5,48,3,2,2,2,2,6,29JUN2021,2816.8224
50022,2,2,1,2,2,3,1,6,96,1,0,0,1,1,0,0,4,2,6,6,6,2,2,2,2,1,2,1,2,1,2,2,2,4,4,4,4,4,1,11,4,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,96,1,11,2,2,2,1,2,2,2,2,2,2,2,1,2,6,6,35,1,2,2,1,1,1,29JUN2021,3193.327
50023,3,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,3,4,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,3,8,2,24,3,2,2,2,1,2,29JUN2021,1588.5822
50024,2,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,4,4,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1,4,4,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,2,3,7,3,24,3,2,2,2,1,2,29JUN2021,6726.9085
50025,2,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,2,7,7,35,3,2,2,2,1,6,29JUN2021,5849.8394
50026,1,1,1,2,4,6,1,4,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,4,8,6,12,2,2,2,2,2,1,29JUN2021,1425.0865
50027,5,2,1,3,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,3,4,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,1,3,4,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,3,4,7,2,46,3,2,2,2,2,3,29JUN2021,1468.7111
50028,2,1,1,2,4,6,1,4,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,2,7,7,24,2,2,2,2,1,1,29JUN2021,5168.8577
50029,4,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,3,4,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,3,8,1,59,3,2,2,2,1,2,29JUN2021,1469.5549
50030,4,1,1,2,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,2,4,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,1,2,4,4,24,3,2,2,2,1,1,29JUN2021,6060.9721
